,classifier,score,run_time (s)
0,DummyClassifier(strategy='most_frequent'),0.5,0.065
1,"LogisticRegression(C=0.1, random_state=42)",0.705,0.519
2,SGDClassifier(),0.678,1.45
3,GaussianNB(),0.51,0.044
4,MultinomialNB(alpha=100),0.656,0.108
5,"KNeighborsClassifier(n_neighbors=100, weights='distance')",0.638,0.337
6,"DecisionTreeClassifier(max_depth=3, min_samples_split=10, random_state=42)",0.657,0.295
7,"RandomForestClassifier(max_depth=10, n_estimators=1000, random_state=42)",0.714,6.76
8,GradientBoostingClassifier(random_state=42),0.718,20.0
10,"AdaBoostClassifier(learning_rate=0.1, n_estimators=100, random_state=42)",0.737,17.0
