,classifier,score,run_time (s)
0,DummyClassifier(strategy='most_frequent'),0.5,0.365
1,"LogisticRegression(C=0.1, n_jobs=1, random_state=42, solver='sag')",0.71,3.02
2,SGDClassifier(penalty='elasticnet'),0.681,1.28
3,GaussianNB(),0.533,0.58
4,MultinomialNB(alpha=100),0.655,0.428
5,"KNeighborsClassifier(n_neighbors=100, weights='distance')",0.64,0.506
6,"DecisionTreeClassifier(max_depth=3, min_samples_split=10, random_state=42)",0.671,0.56
7,"RandomForestClassifier(criterion='entropy', max_depth=30, n_estimators=1000,
                       random_state=42)",0.722,5.63
8,GradientBoostingClassifier(random_state=42),0.723,27.0
9,"AdaBoostClassifier(learning_rate=0.1, n_estimators=100, random_state=42)",0.732,24.0
10,"XGBClassifier(base_score=None, booster='gbtree', callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=1, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=42, ...)",0.734,11.0
11,<catboost.core.CatBoostClassifier object at 0x00000151C53E4520>,0.742,50.0
13,"LGBMClassifier(learning_rate=0.01, num_leaves=100, random_state=42)",0.725,0.873
