,classifier,score,run_time (s)
0,DummyClassifier(strategy='most_frequent'),0.5,0.344
1,"LogisticRegression(C=0.1, n_jobs=1, random_state=42, solver='sag')",0.725,17.0
2,"SGDClassifier(loss='log', penalty='l1')",0.714,8.88
3,GaussianNB(),0.492,0.907
4,MultinomialNB(alpha=1),0.615,0.469
5,"KNeighborsClassifier(n_neighbors=100, weights='distance')",0.627,0.998
6,"DecisionTreeClassifier(max_depth=3, min_samples_split=10, random_state=42)",0.671,4.53
7,"DecisionTreeClassifier(max_depth=3, min_samples_split=10, random_state=42)",0.671,1.75
8,"RandomForestClassifier(criterion='entropy', max_depth=10, n_estimators=1000,
                       random_state=42)",0.729,27.0
9,GradientBoostingClassifier(random_state=42),0.741,476.0
10,"AdaBoostClassifier(learning_rate=0.01, n_estimators=1000, random_state=42)",0.743,158.0
11,"XGBClassifier(base_score=None, booster='gbtree', callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=3, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=42, ...)",0.747,46.0
12,<catboost.core.CatBoostClassifier object at 0x00000151C53E4520>,0.742,84.0
13,"LGBMClassifier(boosting_type='dart', num_leaves=10, random_state=42)",0.743,2.63
